Ｂ超,Bb06
Ｂ超热,Da02
Ｔ恤衫,Bq03
Ｘ光机,Bo01
啊,Ke03
阿,Hi46
阿坝籍,Dd16
阿坝人,Aa01
阿坝州,Di02
阿爸,Ah04
阿伯,Ah05
阿昌族,Di04
阿弟,Ah09
阿爹,Ah04
阿斗,Al04
阿尔巴尼亚,Di02
阿尔及尔,Di02
阿尔及利亚,Di02
阿飞,An04
阿飞舞,Dk29
阿富汗,Di02
阿附,Hi46
阿哥,Ah09
阿根廷,Di02
阿公,Ah07
阿姑,Ah13
阿家阿翁,Ah07
阿胶,Br13
阿姐,Ah10
阿舅,Ah06
阿拉伯,Di02
阿拉伯国家,Di02
阿拉伯胶,Bm14
阿拉伯联盟,Di10
阿拉伯人,Aa01
阿拉伯数字,Dk04
阿拉法特,Af05
阿联酋,Di02
阿妈,Ah04
阿曼,Af05
阿曼湾,Cb26
阿美利加,Di02
阿妹,Ah10
阿弥陀佛,Dh01
阿米巴,Bj01
阿米巴痢疾,Dl01
阿摩尼亚,Bg05
阿母,Ah04
阿木灵,Al02
阿奶,Ab02
阿娘,Ah04
阿帕,Ah04
阿片,Br14
阿婆,Ah07
阿其所好,Hi46
阿塞拜疆,Di02
阿嫂,Ah12
阿婶,Ah12
阿是穴,Bk16
阿叔,Ah05
阿司匹林,Br13
阿嚏,Kf13
阿翁,Ah02
阿咸,Ah16
阿爷,Ah02
阿姨,Ah06
阿訇,Ae18
阿谀,Hi46
阿谀逢迎,Hi46
阿谀奉承,Hi46
阿芙蓉,Br14
阿囡,Ab04
阿姊,Ah10
埃,Bg08
埃及,Di02
埃塞俄比亚,Di02
挨,Je13
挨次,Ka24
挨打,Je13
挨冻,Je13
挨饿,Ib05
挨个,Ka24
挨个儿,Ka24
挨家挨户,Ka24
挨近,Id21
挨骂,Je13
挨整,Hc03
挨着,Id21
挨揍,Fa01
哎,Ke03
哎呀,Ke03
哎哟,Ke03
唉,Ke03
唉声叹气,Ic04
哀,Gb06
哀哀,Ga01
哀兵,Ae10
哀兵必胜,If21
哀愁,Ga01
哀辞,Dk19
哀悼,Gb06
哀的美敦书,Dk17
哀而不伤,Ed49
哀告,Hi25
哀歌,Dk28
哀号,Ic01
哀鸿,Ag04
哀鸿遍野,Ef09
哀叫,Fc10
哀乐,Dk28
哀怜,Gb18
哀鸣,Fc10
哀莫大于心死,Ga05
哀戚,Ga01
哀求,Hi25
哀荣,Ed24
哀伤,Ga01
哀思,Df01
哀思之音,Dk28
哀丝豪竹,Ed40
哀叹,Ic04
哀痛,Ga01
哀艳,Ed03
哀吟,Hh04
哀怨,Gb10
哀子,Ag03
哀矜,Gb18
皑皑,Ec04
癌,Dl03
癌瘤,Dl03
癌细胞,Dl03
癌症,Dl01
癌肿,Dl03
蔼蔼,Eb04
矮,Ea02
矮凳,Bp26
矮墩墩,Ea02
矮个儿,Ac01
矮个子,Ac01
矮糠,Bh09
矮胖,Ea02
矮墙,Bn07
矮人看,Ee18
矮人看场,Ee18
矮屋,Bn01
矮小,Ea03
矮子,Ac01
艾,Bh08
艾哈迈德,Af05
艾利逊,Dd15
艾绒,Bo20
艾森豪威尔,Ae10
艾滋病,Dl01
艾子,Bh08
艾蒿,Bh08
碍,Je07
碍口,Ed48
碍面子,Ed48
碍难,Ga12
碍难难,Ed48
碍事,Ed48
碍手碍脚,Ed48
碍眼,Ed41
爱,Jc07
爱不释手,Gb09
爱才如命,Gb09
爱财如命,Ee41
爱称,Dd15
爱戴,Gb15
爱尔兰,Di02
爱抚,Fa01
爱国,Gb09
爱国心,Df01
爱国者,Aa01
爱国主义,Di08
爱好,Gb09
爱好者,Al06
爱护,Gb09
爱怜,Gb18
爱恋,Gb09
爱面子,Ee32
爱民,Gb09
爱民模范,Al05
爱莫能肋,Ga12
爱莫能助,Ga12
爱慕,Gb13
爱女,Ah14
爱情,Df05
爱犬,Bi07
爱人,Aj17
爱人儿,Ed40
爱沙尼亚,Di02
爱神,Dh01
爱书人,Aa01
爱屋及乌,Je01
爱惜,Gb17
爱惜羽毛,Gb17
爱心,Df05
爱因斯坦,Al02
爱憎,Gb10
爱憎分明,Ee40
爱滋病,Dl01
爱子,Ah14
隘害,Cb19
隘口,Cb20
隘路,Cb27
鞍,Bo26
鞍ｃｈａｎ,Bo26
鞍鼻,Bk03
鞍钢,Dm01
鞍马,Hf04
鞍山,Be04
鞍子,Bo26
鞍辔,Bo26
鞍鞯,Bo26
氨,Bg05
氨苯磺胺,Br13
氨基,Dd10
氨基酸,Dd10
氨气,Bg05
氨水,Bm18
安,Hd02
安安静静,Ga09
安安稳稳,Ee29
安邦定国,Hc01
安不忘危,Ga13
安插,Fa12
安定,Ih09
安定团结,Ef01
安堵,Ef01
安度,Hj03
安顿,Hc03
安放,Fa13
安分,Ee11
安分守己,Ee11
安抚,Hi35
安哥拉,Di02
安好,Ef08
安徽,Di02
安徽省,Di02
安家,Hj51
安家费,Dj08
安家立业,Hj01
安家落户,Hj01
安静,Ga09
安靖,Ef01
安居乐业,Ef01
安康,Ef08
安澜,Ef01
安乐,Ef01
安乐窝,Bn13
安乐椅,Bp26
安理会,Di10
安眠,Ib04
安眠药,Br13
安民告示,Dk14
安那其主义,Di08
安宁,Ef01
安排,Hc03
安培,Al02
安培计,Bo18
安培小时,Dn09
安贫乐道,Ee11
安全,Ef08
安全玻璃,Bm15
安全部,Dm01
安全带,Bp25
安全岛,Be02
安全灯,Bp01
安全电压,Dd05
安全阀,Bo03
安全感,Df04
安全理事会,Di10
安全帽,Bq05
安全生产,Hd29
安全剃刀,Bo09
安全系数,Ef08
安全线,Cb27
安全性,Dd01
安然,Ga09
安然无恙,Ef08
安如泰山,Ef08
安如磬石,Ef08
安塞,Cb25
安上,Hd02
安设,Hd02
安身,Hj01
安身立命,Hj01
安身之地,Cb28
安神,Hj33
安生,Ef01
安石榴,Bh07
安适,Ef07
安守本分,Ee11
安睡,Hj32
安土重迁,Ga14
安危,Ef08
安慰,Hi35
安慰赛,Hh07
安稳,Ga09
安息,Hj32
安息香,Bp22
安闲,Ef06
安闲自得,Ee10
安县,Di02
安详,Ga07
安歇,Hj32
安心,Ga07
安燕,Ef07
安阳,Cb25
安逸,Ef07
安营扎寨,Hb04
安于现状,Ee39
安葬,Hj54
安之若素,Gb21
安置,Hc03
安置点,Cb08
安置率,Dn07
安装,Hd02
安装工程,Di18
安厝,Id07
安谧,Ef01
安琪儿,Dh01
俺,Aa02
俺们,Aa02
按,Hc18
按兵不动,Ef01
按部就班,Kb07
按规定,Kb07
按酒,Br06
按扣儿,Bp24
按劳分配,Di09
按劳付酬,He10
按理,Kb07
按理说,Kc13
按脉,Hg20
按摩,Hg20
按钮,Bp24
按期,Ka09
按时,Ka09
按说,Kb07
按图索骥,Ee16
按蚊,Bi22
按需分配,He05
按压,Gb16
按语,Dk23
按章纳税,He10
按照,Kb07
按质论价,Kb07
按着,Kb07
按捺,Gb16
暗,Ee14
暗暗,Ed44
暗坝,Bn14
暗堡,Bn18
暗藏,Hj38
暗沉沉,Eb18
暗处,Cb28
暗淡,Eb18
暗地,Ed45
暗地里,Ed44
暗房,Bn03
暗沟,Bn08
暗害,Hi59
暗号,Dk04
暗盒,Bp09
暗河,Be05
暗红,Ec01
暗花,Bg09
暗花儿,Bg09
暗灰,Ec04
暗疾,Dl01
暗计,Gb05
暗记儿,Dk04
暗间儿,Bn03
暗箭,Bo29
暗箭伤人,Hi59
暗礁,Bm04
暗流,Be05
暗绿,Ec02
暗昧,Ed44
暗门子,An07
暗纽,Bp24
暗盘,Dj02
暗器,Bo29
暗青,Ec02
暗杀,Hn05
暗伤,Dl01
暗射,Ja03
暗射地图,Dk18
暗示,Hi14
暗事,Da01
暗室,Bn03
暗送秋波,Ic03
暗算,Hi59
暗锁,Bo03
暗滩,Be03
暗探,Ae12
暗无天日,Ed23
暗喜,Ga01
暗香疏影,Bh02
暗箱,Bp15
暗想,Gb01
暗笑,Ic01
暗影,Bg03
暗语,Dk11
暗中,Ed44
暗中摸索,Hg14
暗自,Ed44
暗娼,An07
岸,Be03
岸壁,Bn07
岸边,Be03
岸标,Bp20
岸防,Bn14
岸基,Bn05
岸炮,Bo27
岸狱,Dm02
案,Bp26
案板,Bo14
案秤,Bo18
案犯,An02
案件,Da03
案卷,Dk17
案例,Da03
案情,Da21
案头,Cb01
案由,Db01
案语,Dk23
案子,Bp26
肮脏,Bg08
昂,Id01
昂昂,Ic05
昂藏,Ed21
昂贵,Ed27
昂然,Ic05
昂首,Fc01
昂首阔步,Ie12
昂扬,Ic05
盎司,Dn10
凹,Ea10
凹凹凸凸,Ea11
凹版,Bo17
凹进,Id02
凹镜,Bp01
凹面,Cb23
凹面镜,Bp01
凹透镜,Bp01
凹凸,Ea10
凹凸不平,Ea11
凹下,Id02
凹陷,Id02
敖,Dd15
敖包,Cb08
熬,Je14
熬煎,Je14
熬头儿,Df08
熬心,Ga01
熬夜,Hj03
翱,Fd01
翱翔,Fd01
袄,Bq03
袄教,Di12
袄子,Bd02
傲,Ee34
傲岸,Ee34
傲骨,Dc04
傲慢,Ee34
傲气,Dc04
傲然,Ee34
傲世出尘,Ee32
傲视,Ee34
傲霜枝,Bh02
傲物,Ee34
傲睨,Gb21
奥,Cb05
奥博,Ed39
奥草,Bh03
奥地利,Di02
奥林匹克,Hh07
奥秘,Da01
奥妙,Db09
奥区,Cb11
奥斯卡,Dd15
奥委会,Di10
奥援,Aj09
奥运,Di23
奥运会,Di23
懊ｎａｏ,Gb23
懊悔,Gb23
懊恼,Ga02
懊丧,Ga05
澳,Cb08
澳大利亚,Di02
澳督,Af10
澳抗,Ba01
澳门,Di02
澳洲,Cb08
澳洲黑,Bi13
澳洲黑鸡,Bi13
芭蕉,Bh01
芭蕉扇,Bp34
芭蕉芋,Bh09
芭蕾,Dk29
芭蕾舞,Dk29
芭蕾舞别,Dk29
芭篱,Bn07
捌,Dn04
扒,Fa33
扒糕,Br09
扒拉,Fa33
扒搂,Fa33
扒窃,Hn03
扒手,An03
扒走,Hn03
叭儿狗,Bi07
吧,Fc08
吧哒,Kf09
吧唧,Fc09
吧嗒,Fc09
笆斗,Bp10
笆篱,Bn07
笆篱子,Dm02
笆篓,Bp10
八,Dn04
八八儿,Bi11
八拜之交,Aj03
八宝菜,Br06
八宝饭,Br04
八宝山,Be04
八宝箱,Bp09
八表,Cb11
八成,Ka17
八带鱼,Bi14
八斗才,De04
八度,Dd13
八方,Cb09
八分,Dk05
八分音符,Dk04
八哥,Bi11
八哥儿,Bi11
八股,Dk19
八股〔文〕,Dk19
八股文,Dk19
八国联军,Di11
八荒,Cb11
八极,Cb11
八角,Bh09
八角鼓,Bp13
八角帽,Bq05
八角茴香,Bh09
八节,Ca24
八九不离十,Jb03
八廓街,Cb28
八路军,Di11
八面锋,Ee16
八面风,Bf02
八面光,Ee16
八面见光,Ee16
八面玲珑,Ee16
八面四方,Cb09
八面威风,Ed21
八旗,Di09
八仙,Dh01
八仙过海,Hf06
八仙过海，各显神通,Hj12
八仙桌,Bp26
八行,Dk16
八行书,Dk16
八一,Ca25
八一建军节,Ca25
八音盒,Bp09
八音匣子,Bp09
八月,Bl02
八月半,Ca25
八月节,Ca25
八月中秋,Ca25
八字,Ca26
八字步,Dc03
八字打开,Ee03
八字胡子,Bk12
八字没一撇,Ie06
八卦,Dd15
八卦教,Di12
八卦拳,Dk30
八卦掌,Dk30
八卦阵,Dd07
疤,Bg09
疤痕,Bg09
疤拉,Bg09
疤痢眼儿,Ac03
疤瘌,Bg09
疤瘌眼儿,Bk03
巴,Di02
巴巴儿,Ga10
巴鼻,Db03
巴臂,Db03
巴避,Db03
巴不得,Gb04
巴豆,Bh06
巴儿狗,Bi07
巴尔扎克,Ae16
巴甫洛夫,Al02
巴甫洛夫学说,Dk02
巴格达,Cb25
巴基斯坦,Di02
巴结,Ee24
巴解组织,Di10
巴金,Dd15
巴克夏猪,Bi07
巴勒斯坦,Di02
巴勒斯坦国,Di02
巴勒斯坦人,Aa01
巴黎,Cb25
巴黎公社,Di10
巴黎绿,Bm11
巴里纱,Bq01
巴拿马,Di02
巴人,Aa01
巴塞罗那,Cb25
巴士,Bo21
巴头探脑,Fc04
巴望,Gb04
巴西,Di02
巴县,Cb25
巴掌,Bk08
巴着眼,Fc02
拔,Hc03
拔白,Ca27
拔步,Fb01
拔草,Fa08
拔除,Jd10
拔地而起,Hc05
拔掉,Fa08
拔缝,Id06
拔付,He11
拔高,Ih06
拔工,Hj11
拔海,Dn01
拔海荡山,Ed19
拔河,Hh07
拔尖,Ed03
拔尖儿,Ed04
拔脚,Fb01
拔节,Fa08
拔开云雾见青天,Ih11
拔款,He11
拔乱反正,Hj66
拔茅,Hi16
拔茅连茹,Hi16
拔锚,Ig01
拔苗助长,Je06
拔弄,Hi55
拔取,Hc23
拔山扛鼎,Ed19
拔丝,Hd08
拔腿,Fb01
拔犀擢象,Hc23
拔尤,Hc23
拔擢,Hc23
跋,Dk22
跋前踬,If03
跋前踬后,If03
跋山涉水,Hf04
跋涉,Hf04
跋文,Dk22
跋扈,Ee38
靶,Bo29
靶场,Cb28
靶档,Bc05
靶机,Bo01
靶子,Bo29
把,Hc10
把臂,Fa35
把柄,Db04
把持,Hc10
把弟,Aj03
把儿,Bc04
把风,Fc04
把关,Hc18
把酒,Fa04
把揽,Hc10
把牢,Ee29
把脉,Hg20
把门,Hb04
把式,Al02
把势,Al02
把手,Bc04
把守,Hb04
把头,Af10
把玩,Hj47
把稳,Ee29
把握,Fa06
把戏,Df09
把细,Ee28
把兄,Aj03
把兄弟,Aj03
把斋,Hk03
把盏,Fa04
把子,Bc04
把袂,Fa35
耙,Hd17
耙犁,Bo05
耙子,Bo05
坝,Be03
坝基,Bn14
坝址,Cb08
坝子,Be01
坝埽,Bn14
霸,Ak03
霸道,Di08
霸据,Hc10
霸权,Di21
霸权主义,Di08
霸王,Ak03
霸王鞭,Dk29
霸王别姬,Ie09
霸占,Jd04
霸主,Af10
罢,Hc06
罢工,Ha02
罢官,Hc25
罢教,Ha02
罢课,Ha02
罢了,Ig01
罢论,Gb05
罢免,Hc25
罢免权,Di21
罢市,Ha02
罢手,Ig01
罢休,Ig01
罢演,Ha02
罢职,Hc25
罢黜,Hc25
爸,Ah04
爸爸,Ah04
白,Bp07
白ｘｉ,Ec04
白皑皑,Ec04
白矮星,Bd01
白案,Di19
白白,Ed47
白斑,Bg09
白斑病,Dl01
白班,Dd07
白报纸,Bp17
白不呲咧,Ec10
白布,Bq01
白菜,Bh06
白苍苍,Ec04
白痴,Al04
白炽,Bg03
白炽灯,Bp01
白炽电灯,Bp01
白唇鹿,Bi05
白瓷,Bm15
白醋,Br08
白搭,Ed47
白带,Bl02
白道,Hi12
白地,Bn12
白点,Cb23
白丁,Aa01
白发,Bk11
白发苍苍,Ec04
白矾,Ba01
白饭,Br04
白匪,An01
白费,He13
白费力气,Ed47
白粉,Br14
白粉病,Dl01
白干儿,Br12
白秆,Dl01
白鸽,Bi11
白宫,Bn01
白骨,Bk01
白骨精,Dh01
白光,Bg03
白果,Bh07
白果儿,Bl05
白果树,Bh01
白果松,Bh01
白过,Hj03
白鹤,Bi12
白喉,Dl01
白乎乎,Ec04
白狐,Bi03
白花花,Ec04
白花蛇,Bi10
白化病,Dl01
白话,Dk11
白话诗,Dk27
白话文,Dk19
白话文学,Dk25
白晃晃,Ec04
白灰,Bm05
白鸡,Br06
白介素,Dd10
白金,Bm01
白净,Ec04
白净净,Ef12
白酒,Br12
白驹过隙,Eb23
白卷,Dk03
白绢,Bq02
白开水,Bg01
白口,Dk11
白口铁,Bm02
白蜡,Bp22
白蜡虫,Bi18
白蜡树,Bh01
白兰地,Br12
白兰花,Bh02
白浪滔滔,Ia06
白楞,Ea09
白梨,Bh07
白痢,Dl01
白莲教,Di12
白练,Be07
白磷,Ba01
白鳞鱼,Bi14
白领,Dd06
白领阶层,Di16
白露,Ca24
白马,Bi06
白茫茫,Ec04
白茅,Bh03
白煤,Bm08
白媒,Bg01
白蒙蒙,Eb20
白米,Br01
白米饭,Br04
白面,Br01
白面儿,Br14
白面书生,Al01
白描,Dk31
白沫,Bg02
白木耳,Bh04
白内障,Dl01
白砒,Br14
白皮书,Dk17
白皮松,Bh01
白旗,Bp20
白契,Di24
白切鸡,Br06
白切肉,Br06
白求恩,Af11
白区,Cb08
白热,Bg03
白热化,Ef10
白人,Aa01
白刃,Bo27
白刃战,Di11
白日,Ca28
白日梦,Df10
白日升天,If08
白日衣绣,Hj59
白日撞,An03
白日做梦,Df10
白日作梦,Gb01
白肉,Br06
白色,Ee37
白色恐怖,Ga16
白芍,Br13
白食,Br03
白事,Da01
白市布,Bq01
白手起,Hc05
白手起家,Hc05
白首,Bk02
白薯,Bh06
白水,Bg01
白苏,Bh09
白塔山,Be04
白汤,Bg01
白糖,Br08
白陶,Bm15
白藤,Bh09
白体,Dk05
白天,Ca28
白天鹅,Bi11
白天黑夜,Ca29
白条,Dk15
白条猪,Bi07
白铁,Bm02
白厅,Bn11
白铜,Bm01
白头,Bk02
白头翁,Bi11
白头偕老,Ed32
白秃风,Dl03
白兔,Bd02
白脱,Br12
白文,Dk22
白钨矿,Ba08
白细胞,Ba02
白相人,An04
白熊,Bi03
白癣,Dl03
白雪公主,Af06
白血病,Dl01
白血球,Bk18
白眼,Fc04
白眼珠,Bk03
白杨,Bh01
白药,Br13
白夜,Ca29
白衣素服,Hj55
白衣战士,Ae15
白蚁,Bi22
白银,Bm01
白雨,Bf01
白玉,Br04
白云,Bf02
白云苍狗,Ih01
白云亲舍,Gb06
白云石,Bm04
白斩鸡,Br06
白纸,Bp17
白质,Bk16
白昼,Ca28
白竹布,Bq01
白浊,Dl01
白字,Dk05
白族,Di04
白垩纪,Ca02
白蒿,Bh03
白璧微瑕,Ed05
白璧无瑕,Ee43
白桦,Bh01
白镪,Dj05
